index	id hotel	hotel	city	locatii	locatia aleasa
368	OT-PROP-A-1322041	Apeiron Blue Santorini	Fira Santorini	"Agia Irini
Agia Paraskevi
Agios Georgios
Agrilia
Akrotiri
Cyclades
Emporio
Episkopi
Exo Gialos
Exo Gonia
Exomytis
Finikia
Firostefani
Firá
Imerovigli
Kamari
Karterados
Manolas
Megalochori
Mesaria
Monolithos
Oia
Ormos Korfou
Perissa
Perivolos
Potamos
Pyrgos
Santorini Airport
Santorini Island
Tholos
Vlychada
Vothonas
Vourvoulos"	
370	OT-PROP-A-1322457	Ivis 4 Boutique Hotel	Psyrri - Athens	"Acharnés
Agia Eleousa
Agia Filothei
Agia Marina
Agia Paraskevi
Agia Varvara
Agiannis
Agii Anargyri
Agios Dimitrios
Agios Dimitrios Kropias
Agios Fanourios
Agios Ioannis Rentis
Aigli
Aixoni
Alimos
Amfiali
Amfithea
Anagennisi
Ano Glyfada
Ano Iraklion
Ano Liosia
Ano Varibobi
Argithea
Argyroupoli
Aspropyrgos
Astythea
Athens & Coast
Athens Center
Attiki - Argosaronikos
Ayios Ioannis Kareas
Chaidari
Chalandri
Charavgi
Charokopou
Cholargos
Dafni
Dafni
Dasos
Dhekelia
Dimodidaskalon
Drapetsona
Egaleo
Elaionas
Elliniko
Evgeneia
Faros
Fili
Filothei
Galatsi
Glyfada
Glyka Nera
Ierapoli
Ilion
Ilioupoli
Irákleio
Kaisariani
Kallithea
Kalogreza
Kamatero
Karellas
Kato Aigaleo
Kato Varibobi
Keratsini
Kitsi
Komnina
Kontopefko
Kopi
Koropi
Korydallos
Lioumi
Lofos Filaretou
Lofos Sikelias
Lykovrysi
Marousi
Metamorfosi
Mikro Metochi
Monastiraki
Moni Kimiseos Theotokou Kliston
Moschato
Nea Chalkidona
Nea Filadelfia
Nea Fokaia
Nea Ionia
Nea Khalkidhon
Nea Smyrni
Nea Zoi
Nea Zoi
Neo Aigaleo
Neo Ikonio
Neo Iraklio
Neo Psychiko
Neratziotissa
Nikaia
Ntamarakia
Paiania
Paleo Faliro
Papagou
Papangelaki
Paradeisos
Paradeisos Amarousiou
Parnis
Patisia
Pefkakia
Pefki
Perama
Peristeri
Peronia
Petroupolis
Piraeus
Psychiko
Pyrnari
Rizopolis
Skaramangas
Soros
Sotiraki
Sourmena
Tatoi Airport
Tavros
Terpsithea
Thrakomakedones
Trakhones
Tsakos
Tzitzifies
Varybobi
Vlitikos Stathmos
Vyronas
Ymittos
Ymittos Athens
Zefyri"	
2661	OT-PROP-A-670287	Socrates Organic Village Agrilia	Messolonghi	"Agios Georgios
Agios Ilias
Agios Thomas
Agrilia
Aitoliko
Aitolokarnania  - Mesolongi
Ano Evinochori
Ano Kerasovon
Chondraiika
Chrysovergi
Ellinika
Evinochori
Fragkoulaiika
Gouria
Karitsa
Karvailaiika
Kato Ellinika
Kato Koudouni
Kato Mousoura
Kato Retsina
Katochi
Kefalovryso
Klima
Koutsocheri
Lesini
Magoula
Magoula
Marmara
Mastron
Melikenaiika
Mesolongi
Nea Kalydona
Neochorion
Pano Koudouni
Pano Mousoura
Pendalofon
Platania
Rigaiika
Schinos
Stamna
Sterea Ellada - Evia
Trypes
Xiraiika
Yiatsaiika"	
2849	OT-PROP-A-812	Vincci EverEden	Anavyssos	"Agia Marina
Agia Marina Mikrolimanou
Agiasma
Agios Dimitrios Kropias
Agios Georgios
Agios Georgios Thorikou
Agios Gerasimos
Agios Konstantinos
Agios Nektarios
Agios Nikolaos
Anavysos
Ano Daskalio
Ano Thoriko
Ari
Athens & Coast
Attiki - Argosaronikos
Avrokastro
Ayia Paraskevi
Ayios Nikolaos
Ayios Yeoryios
Charakas
Charvalo
Dardeza
Daskalio
Dimolaki
Dionysos Kerateas
Dipseliza
Eleochori
Elies Daskaliou
Ergatikes Katoikies Attikis
Esperides
Fanosi
Feriza
Foinikia
Kaki Thalassa
Kalivia Thorikou
Kalopigado
Kalyvria Paralias
Karellas
Kato Poseidonia
Kato Sounio
Keratea
Kitsi
Kontra Vilara
Koropi
Kouvaras
Lagonissi
Lavrio
Legrena
Maliakouki
Maliasteka
Manoutso
Maristra
Markati
Markellou
Megala Pefka
Megali Avli
Mikro Metochi
Mikrolimano Kerateas
Milos
Mitropisi
Moni Kakis Thalassis
Moni Metamorfoseos Sotiros
Myrteza
Neos Kouvaras
Olimbos
Palaia Fokaia
Paliokamariza
Panorama Mikrolimanou
Panormos
Pefka
Plaka
Porto Enia
Prisilimes
Rimpari
Roumounti
Rountzeri Lemprou
Sakka
Saronida
Sinterina
Skaleza Mitrantoni
Spiliazeza
Syri
Thermi
Thimari
Thoriko
Togani Lakizas
Trechantiera
Triantafyllia
Tzardavila Mokrizas
Tzonima
Venio Daskaliou
Vintzi Daskaliou
Zapani
Zastano"	
2694	OT-PROP-A-690720	A77 Suites by Andronis	Plaka, Athens	"Agia Eleousa
Agia Filothei
Agia Varvara
Agiannis
Agii Anargyri
Agios Dimitrios
Agios Fanourios
Agios Ioannis Rentis
Alimos
Amfiali
Amfithea
Anagennisi
Argyroupoli
Astythea
Athens & Coast
Athens Center
Attiki - Argosaronikos
Ayios Ioannis Kareas
Chaidari
Chalandri
Charokopou
Cholargos
Dafni
Dafni
Dasos
Dimodidaskalon
Drapetsona
Egaleo
Elaionas
Evgeneia
Faros
Filothei
Galatsi
Ierapoli
Ilion
Ilioupoli
Irákleio
Kaisariani
Kallithea
Kalogreza
Kamatero
Kato Aigaleo
Keratsini
Komnina
Kontopefko
Kopi
Korydallos
Lioumi
Lofos Filaretou
Lofos Sikelias
Monastiraki
Moschato
Nea Chalkidona
Nea Filadelfia
Nea Fokaia
Nea Ionia
Nea Khalkidhon
Nea Smyrni
Nea Zoi
Nea Zoi
Neo Aigaleo
Neo Iraklio
Neo Psychiko
Neratziotissa
Nikaia
Ntamarakia
Paleo Faliro
Papagou
Paradeisos Amarousiou
Patisia
Peristeri
Peronia
Petroupolis
Piraeus
Psychiko
Rizopolis
Sotiraki
Sourmena
Tavros
Terpsithea
Trakhones
Tsakos
Tzitzifies
Vlitikos Stathmos
Vyronas
Ymittos
Ymittos Athens"	
425	OT-PROP-A-138087	Paradise Apartments & Studios	LAGANAS ZAKYNTHOS	"Ag. Nikolaos Port
Agalas
Agia Marina
Agia Marina
Agia Thekli
Agioi Pantes
Agios Diimitrios
Agios Ioannis
Agios Kirikos
Agios Leon
Agios Sostis
Agrilia
Ai Giannis
Akrotiri
Alikanas
Alonia
Alykes
Ambelokipoi
Ammoudi
Ampelos
Ampoula
Anafonitria
Ano Gerakari
Ano Vasilikos
Ano Volimes
Apelati
Argasi
Askos
Bokhali
Chamouzas
Drakas
Drosia
Drosia
Elies
Exo Chora
Fiolitis
Fterini
Gaitani
Galaro
Girion
Ionian Islands
Kalamaki
Kalipado
Kalliteros
Kallithea
Kalpaki
Kampi
Kastelia
Katastari
Kato Gerakari
Keri
Khartata
Kiliomenos
Kipseli
Korithi
Koroni
Koukounaria
Kydoni
Laganas
Lagkadakia
Lagopodo
Limni Keriou
Limonteika
Lithakia
Louha
Makheradon
Marathias
Margaraiiika
Maries
Marinaiika
Melinado
Meso Gerakari
Mikro Nisi
Moni Strofadon
Mouzaki
Neromylos
Orthoniai
Pantokrator
Pefkakia
Pigadakia
Plagos
Planos
Planos
Psareika
Psarou
Romirion
Sarakinado
Skinaria
Skoulikado
Stimies
Tragaki
Tsilivi
Vanaton
Varvara
Vasilikos
Volimes
Vouyiaton
Xirokastello
Zakinthos Airport
Zakynthos Town
Zante Island"	
446	OT-PROP-A-140708	Elinotel Sermilia Resort	Seaside Road, Sithonia	"Agia Anastasia
Agios Prodromos
Chalkidiki
Dexameni
Diastavrosi Paleokastrou
Doubia
Evangelismos Tis Theotokou
Galarinos
Galatista
Gerakini
Geroplatanos
Kalyves
Kelli
Krimni
Macedonia
Marathoussa
Metamorfosi
Metochi Metamorfoseos
Moni Agias Anastasias Farmakolytrias
Nea Sermili
Nisi
Olynthos
Ormilia
Osios Arsenios
Paleochora
Paleokastro
Paralia Gerakinis
Patelidas
Petrada
Plana
Platanochori
Polygyros
Prinochori
Psakoudia
Riza
Sana
Smixi
Taxiarchis
Vatopedi Beach
Vatopedio
Vavdos
Vrastama"	
1855	OT-PROP-A-339009	Anerada Inn Suites & Villa - Pet Friendly	Karpenissi	"Agia Paraskevi
Agioi Apostoloi
Alestia
Ambelia
Ampliani
Aniadha
Ano Esokhoria
Ano Kalesmenon
Ano Karitsa
Anthiro
Aroniada
Aspropirgos
Asproudhia
Ayia Trias
Ayia Vlakherna
Ayios Andreas
Ayios Kharalambos
Ayios Nikolaos
Chochlia
Dhermation
Dhitikon Papparousion
Domianoi
Domnista
Drosopigi
Esokhoria
Evritania - Karpenisi
Fidhakia
Fourna
Gavros
Gorianadhes
Gournes
Granas
Iera Moni Prousou
Isomata
Isomata
Itia
Kakalioraiika
Kakavaki
Kalesmenon
Kallithea
Karditsa - Lake Plastira
Karitsa
Karoula
Karpenisi
Kastanea
Kastanoula
Kastanoula
Katavothra
Kato Karitsa
Katsidhaiika
Katsimitraiika
Khelidhon
Kipoi
Klavsion
Kleisto
Komataiika
Koritsa
Koryschades
Kouli
Krikellon
Kynigos
Lefka
Linaraki
Marinos
Mavrolongos
Mega Khorion
Mesampelia
Mesokomi
Mikron Khorion
Milea
Miriki
Monastirakion
Mouschiades
Mouzilon
Neo Dermati
Neo Mikro Chorio
Nostimon
Paliokhorafa
Pappadia
Papparousion
Parigoris
Pavlopoulon
Petralona
Platanos
Prodhromos
Prousos
Psiana
Ptelea
Roska
Ryaki
Sarkini
Sella
Singrellos
Skangaria
Skopia
Stavloi
Stavrokhorion
Stefanion
Stenoma
Sterea Ellada - Evia
Stournara
Tornos
Tsiknaiika
Vamvakiai
Velota
Velotoula
Velouchi
Vithisma
Voutiron
Vracha
Vrysoula
Zimotaria"	
1333	OT-PROP-A-2376	Elysion Hotel	Mytilene	"Afalonas
Agia Marina
Agia Paraskefi Agias Marinis
Agia Paraskevi
Agia Varvara
Agiasos
Agios Fokas
Agios Isidoros
Agra
Agrilia Kratigou
Akrassi
Akrotirion
Alifanta
Ampeliko
Anaxos
Anemotia
Ano Chalikas
Ano Charamida
Ano Chorio
Antissa
Antissaterpandros Windfarm
Apidias Lakkos
Argennos
Ariana
Arisvi
Asomatos
Aspropotamos
Avlonas
Chalatses
Charamida
Chidira
Dafia
Drota
Drota Beach
Eftalou
Eresos
Evangelistria
Fara
Filia
Fteli
Gerania
Ippio
Kalloni
Kapi
Karini
Kato Chalikas
Kato Chorio
Kato Stavros
Kato Tritos
Kedro
Kerami
Keramia
Kleio
Komi
Kournela
Lafionas
Lampou Mili
Larisos
Lepetimnos
Lesbos Island
Ligeri
Ligonari
Limani
Lisvori
Loutra
Loutropolis Thermis
Mantamados
Megalochori
Melinta
Mesagros
Mesotopos
Mistegna
Mithymna
Moria
Mytilini
Napi
Nea Kydonia
Neapoli
Neochori
North Aegean Islands
Ntipion
Paleochori
Paleokipos
Pamfila
Panagiouda
Pappados
Parakila
Pelopi
Perama
Petra
Pigadakia
Pigi
Pirgii Thermis
Plagia
Plakados
Pligoni
Plomari
Polichnitos
Pterounda
Pyrgi
Rachidi
Revma
Sigri
Skala Eresou
Skala Kallonis
Skala Loutron
Skala Mistegnon
Skala Neon Kidonion
Skala Sikamineas
Skalochori
Skopelos
Skoutaros
Sourada
Stavros
Stypsi
Sykaminea
Sykaminias
Sykounta
Tarti
Tavari
Taxiarchai
Trygonas
Tsafi
Tsilia
Tzithra
Vafios
Varia
Vasilika
Vatera
Vatoussa
Vrisa
Ypsilometopo"	
3616	OT-PROP-B-5799570	Nautilus Luxury Suites Galaxidi	Galaxidi	"Agioi Pantes
Agios Andreas
Agios Georgios
Agios Konstantinos
Agios Polykarpos
Agios Spyridon
Agkouraki
Aigytio
Alpochori
Amfissa
Amygdalia
Ano Polidhrosos
Apostolias
Artotina
Athanasios Diakos
Avoros
Chiliadou
Chrisso
Dafnochori
Dafnos
Delphi
Desfina
Diakopi
Dichori
Doriko
Drosato
Drosochori
Efpalio
Elaia
Elaionas
Eptalofos
Erateini
Filothei
Fokida
Galaxidhion
Glifada
Gravia
Itea
Kalania
Kallio
Kallithea
Kaloskopi
Kampos
Karoutes
Kastellia
Kastraki
Kastriotissa
Kato Dhafni
Kerasies
Kirra
Klima
Klima
Kokkinaioi
Kokkino
Koniakos
Koukoura
Koupaki
Kouplaioi
Kriatsi
Krokyli
Lefka
Lefkaditi
Lidoriki
Lilaia
Longos
Magoula
Makria Mallia
Makrini
Malandrino
Managouli
Marathias
Mariolata
Mavrolithari
Mesino Khorion
Milia
Monastiraki
Mousounitsa
Nea Koukoura
Nea Trizonia
Oinochori
Palaiochori
Palaiomylos
Palaioxari
Panormos
Panourgias
Paralia Sergoulas
Pefkaki
Pentagioi
Penteoria
Perithiotissa
Perivoli
Pigi
Polidhrosos
Potidania
Prosakos
Prosilio
Psilo Chorio
Pyra
Pyrgos
Sergoula
Sernikaki
Skaloma
Skaloula
Sklithro
Sotaina
Sterea Ellada - Evia
Stilia
Stromi
Sykia
Teichio
Tolofon
Trikorfo
Tristeno
Tritaia
Trividi
Trizonia
Vargiani
Vounichora
Vraila
Zorianos"	
1134	OT-PROP-A-207567	Electra Syros Boutique Hotel	Hermoupolis, Syros	"Agros
Alithini
Ano Syros
Chalandriani
Chrousa
Cyclades
Danakos
Episkopion
Finikas
Finikia
Firokambos
Galissas
Kambos
Khalepa
Kini
Kipperousa
Komito
Konizopi
Kouroupi
Liaropa
Manna
Mega Gialo
Megas Yialos-Nites
Mesaria
Pagos
Parakopi
Perdhiki
Platos
Poseidonia
Syros Island
Syros Island National Airport
Talanda
Vari
Vissa
Voulias"	
523	OT-PROP-A-148407	Kappa Resort	Halkidiki,Greece	"Afitos
Aghios Nikolaos Paliouriou
Agia Paraskevi
Boulamatsia
Chalkidiki
Elani
Evdos
Fourka
Fourka
Frama
Fylakes Karakallou
Fylakes Kassandras
Fylakes Ksenofontos
Hanioti
Kalandra
Kalithea
Kallithea
Kaloutsikos
Kassandra
Kassandra
Kassandra Palace
Kassandria
Kassandrino
Khaniotis
Kriopigi
Lefkes
Lefki Peristera
Loutra
Moles Kalyves
Nea Fokia
Nea Potidea
Nea Potidhaia
Nea Skioni
Paliouri
Panorama
Pefkohori
Pirgos Sani
Polichrono
Possidi
Sani
Siviri
Solina
Xina"	
1534	OT-PROP-A-274792	Gefyri	Ioannina	"Aetomilitsa
Aetopetra
Agia Paraskevi
Agia Varvara
Aidonochori
Amarantos
Armata
Asimochori
Chioniades
Distrato
Drosopigi
Elefthero
Exochi
Fourka
Ganadio
Gorgopotamos
Iliorrachi
Kallithea
Kalovrysi
Kalyvia Kleidonias
Kastania
Kavasila
Kefalochori
Kleidonia
Konitsa
Lagkada
Loutra
Mazi
Melissopetra
Mikro Papigkon
Molista
Molyvdoskepastos
Monastiri
Nikanoras
Oxya
Pades
Palaioselli
Papigkon
Pigi
Plagia
Plikati
Pournia
Pyrgos
Pyrsogianni
Pyxaria
Theotokos
Trapeza
Vourmpiani"	
561	OT-PROP-A-151622	To Balcony Tis Agorianis	Parnassos	"Agioi Pantes
Agios Andreas
Agios Georgios
Agios Konstantinos
Amfikleia
Amfissa
Ano Kalivia
Ano Polidhrosos
Apostolias
Athanasios Diakos
Chrisso
Delphi
Desfina
Drosochori
Elaionas
Eptalofos
Fterolakka
Galaxidhion
Gravia
Itea
Kalania
Kaloskopi
Kastellia
Kastriotissa
Kirra
Lilaia
Makria Mallia
Mariolata
Mavrolithari
Moni Dadiou
Mousounitsa
Oinochori
Panourgias
Pefkovrysi
Penteoria
Perdikovrysi
Polidhrosos
Prosakos
Prosilio
Pyra
Sernikaki
Sklithro
Sterea Ellada - Evia
Stromi
Tritaia
Vargiani
Vounichora"	
566	OT-PROP-A-151872	Summer Bed Nydri	Lefkas	"Agios Christoforos
Agios Nikitas
Agios Nikolaos Niras
Agios Petros
Alatro
Alexandros
Amokambos
Apolpena
Asprogerakata
Athani
Ayia Marina
Ayios Ilias
Charadiatika
Chortata
Desimi
Dragano
Drymonas
Egremni
Englouvi
Episkopi
Episkopos
Evgiros
Exanthia
Fraxi
Frini
Fterno
Geni
Ionian Islands
Kalamitsi
Kalamos
Kalavros
Kalligoni
Kallithea
Kariotai
Karya
Kastos
Kastron
Katochori
Katouna
Kavalos
Kolivata
Komilio
Kontarena
Lazarata
Lefkada Island
Ligia
Manasi
Marantochori
Mikros Gialos
Neochori
Nidhrion
Nidri
Nikiana
Nikolis
Nydri
Panochori
Perigiali
Pigadisani
Pinakochori
Platistoma
Pondi
Poros
Premendinos
Rachi
Sivota
Sivros
Spanokhorion
Spasmeni Vrisi
Steno
Tsoukalades
Vasiliki
Vavkeri
Vlikho
Vournikas"	
3827	OT-PROP-B-7380323	Blue Lagoon Queen	Sithonia, Halkidiki	"Agia Anastasia
Agios Mamas
Agios Prodromos
Chalkidiki
Dexameni
Diastavrosi Paleokastrou
Dionisiou
Doubia
Evangelismos Tis Theotokou
Galarinos
Galatista
Gerakini
Geroplatanos
Kalyves
Kelli
Krimni
Macedonia
Marathoussa
Metamorfosi
Metochi Metamorfoseos
Moni Agias Anastasias Farmakolytrias
Nea Moudania
Nea Sermili
Nisi
Olynthos
Ormilia
Osios Arsenios
Paleochora
Paleokastro
Papa Aloni
Paralia Gerakinis
Patelidas
Petrada
Plana
Platanochori
Polygyros
Portaria
Portes
Prinochori
Psakoudia
Riza
Sana
Simantra
Smixi
Taxiarchis
Vatopedi Beach
Vatopedio
Vavdos
Vrastama"	
3589	OT-PROP-B-550	Byblos Luxury Villas	Thassos	"Alyki
Astris
Chrysi Ammoudia
Glyfada
Kallirachi
Kastro
Koinyra
Lefki
Limenaria
Livadi
Makryammos
Maries
Megalos Prinos
Mikros Prinos
Moni Archangelou
Nisteri
North Aegean Islands
Ormos Prinou
Panayia
Paradeisos
Paralia Astridos
Potamia
Potos
Prinos
Psili Ammos
Rachoni
Rosogkremos
Skala Kallirachis
Skala Marion
Skala Rachoniou
Skala Sotiros
Skidia
Sotiras
Thasos Island
Theologos
Thymonia"	
2304	OT-PROP-A-490395	Pension Kavallaris & Apartments	Thira, Santorini	"Agia Irini
Agia Paraskevi
Agios Georgios
Agrilia
Akrotiri
Cyclades
Emporio
Episkopi
Exo Gialos
Exo Gonia
Exomytis
Finikia
Firostefani
Firá
Imerovigli
Kamari
Karterados
Manolas
Megalochori
Mesaria
Monolithos
Oia
Ormos Korfou
Perissa
Perivolos
Potamos
Pyrgos
Santorini Airport
Santorini Island
Tholos
Vlychada
Vothonas
Vourvoulos"	
784	OT-PROP-A-1743	Omiros	Ermoupolis Syros	"Agros
Alithini
Ano Syros
Chalandriani
Chrousa
Cyclades
Danakos
Episkopion
Finikas
Finikia
Firokambos
Galissas
Kambos
Khalepa
Kini
Kipperousa
Komito
Konizopi
Kouroupi
Liaropa
Manna
Mega Gialo
Megas Yialos-Nites
Mesaria
Pagos
Parakopi
Perdhiki
Platos
Poseidonia
Syros Island
Syros Island National Airport
Talanda
Vari
Vissa
Voulias"	
2668	OT-PROP-A-671267	Esperia Luxury Suites	Astypalea	"Astipalea Island
Astypalaia Airport
Dodecanese"	
795	OT-PROP-A-1754	Marpunta Resort	Alonnisos	"Agios Dimitrios
Agios Petros
Alonissos Island
Alonissos Town
Ayios Petros
Chrisi Milia
Chrysi Milia
Diaselo
Gerakas
Isomata
Kalamakia
Marpounta
Marpounta
Megali Ammos
Mourtero
Mourteron
Patitiri
Patitirion
Steni Vala
Steni Vala
Votsi
Yerakas"	
3833	OT-PROP-B-7380357	Vasili Studios Kythira	Kythira	"Agia Anastasia
Agia Moni
Agia Pelagia
Agios Ilias
Alexandrades
Aloizianika
Ano Livadi
Arei
Aroniadika
Avlemonas
Charchaliana
Cythera Island
Diakofti
Dokana
Drimonari
Drimonas
Fatsadika
Fratsia
Frilingianika
Galaniana
Gerakari
Goudianika
Ionian Islands
Kalamos
Kalisperianika
Kalokerines
Kambos
Kampos Paleopoleos
Kapsali
Karavas
Karvounades
Kastrisianika
Kato Chora
Katsouni
Keramoto
Kithira
Kithira Airport
Kondolianika
Kousounari
Kryoneri Kythiron
Lianianika
Livadi
Logothetianika
Lourandianika
Manitochori
Milopotamos
Mitata
Moni Myrtidion
Paleopoli
Perlengianika
Petrouni
Piso Pigadi
Pitsinades
Pitsinianika
Platia Ammos
Potamos
Potamos Antikithiron
Pourko
Prongion
Stathianika
Strapodi
Travasarianika
Trifillianika
Tsiklaria
Viaradika
Vouno"	
834	OT-PROP-A-1784	Mediterranean Princess	Olympus Riviera	"Agios Dimitrios
Andromachi
Ano Agios Ioannis
Ano Milia
Aronas
Biliki
Chrani
Elafos
Elatochori
Exochi
Foteina
Ganochora
Kallithea
Kalyvia Dranitsas
Kalyvia Varikou
Kantouladika
Karyes
Katalonia
Katerini
Kato Agios Ioannis
Kato Milia
Korinos
Koukkos
Lagorrachi
Lofos
Macedonia
Manastir Lokova
Mavrotopos
Meliadi
Milia
Moschochori
Moschopotamos
Nea Efesos
Nea Trapezounta
Neo Keramidi
Neokaisareia
Neos Pyrgos
Olympiaki Akti
Olympic Riviera - Pieria
Palaio Keramidi
Palaion Zazakon
Paralia Katerini
Peristasi
Petra
Pieria - Olympos
Prosilio
Rachi
Ritini
Sevasti
Skala Korinou
Skala Stolou
Skoteina
Svoronos
Toxo
Trilofos
Vria
Vria"	
1038	OT-PROP-A-196740	Civitel Attik - Civitel Esprit	Maroussi, Athens	"Acharnés
Adames
Agia Filothei
Agia Paraskevi
Agiannis
Agii Anargyri
Ano Iraklion
Ano Kifisia
Ano Liosia
Ano Varibobi
Anthousa
Athens & Coast
Athens Center
Attiki - Argosaronikos
Chalandri
Cholargos
Dimodidaskalon
Dionysos
Drosia
Efedron Anagennisi
Ekali
Faros
Filothei
Galatsi
Gerakas
Glyka Nera
Ilion
Irákleio
Kaisariani
Kallithea
Kalogreza
Kamatero
Kato Kifisia
Kato Varibobi
Kefalari
Kifisia
Kokkinaras
Kontopefko
Leondarion
Lykovrysi
Marousi
Melissia
Metamorfosi
Mortero
Nea Chalkidona
Nea Erythrea
Nea Filadelfia
Nea Ionia
Nea Khalkidhon
Nea Kifisia
Nea Penteli
Nea Zoi
Neo Iraklio
Neo Psychiko
Neratziotissa
Pallini
Papagou
Paradeisos
Paradeisos Amarousiou
Patisia
Pefkakia
Pefki
Penteli
Peristeri
Petroupolis
Politeia
Psychiko
Rea
Rizopolis
Soros
Stavros
Tatoi Airport
Thrakomakedones
Tsakos
Varybobi
Vlitikos Stathmos
Vrilissia
Zefyri"	
845	OT-PROP-A-179854	Mystras Grand Palace Resort & Spa	Sparta	"Achaia - Patra - Rio - Kalavryta
Afision
Agoriani
Agrapidhoula
Agrianoi
Alesia
Alevrou
Amiklai
Anavriti
Anoyia
Anthokhorion
Arkasadhes
Arna
Ayia Irini
Ayia Kiriaki
Ayioi Anaryiroi
Ayios Ioannis
Ayios Ioannis Theologos
Ayios Konstandinos
Ayios Petros
Bolanaiika
Dhiaselon
Dhipotama
Foundaiika
Georgitsio
Gklekaiika
Goranoi
Goritsa
Gounaris
Kalamion
Kalivia Sokhas
Kalivia Theologou
Kalogonia
Kamarai
Kaminia
Kariai
Kastorion
Kastrion
Kato Khora
Katsaros
Kavourakion
Kefalas
Kharision
Khrisafa
Kidhonea
Kiparission
Kladhas
Kokkinorrakhi
Konidhitsa
Koumousta
Kouremenos
Krionerion
Lakonia
Lakonia - Monemvasia -Mani
Levki
Levkokhoma
Liakaiika
Liandina
Longanikos
Longastra
Magoula
Megali Vrisi
Mystras
Nea Livera
Neos Kosmos
Nikhorion
Palaiologion
Palaiopanayia
Pardhalion
Parorion
Pellana
Peloponnese
Pera Khora
Pergandaiika
Peristerion
Perivolia
Perpeni
Pikoulianika
Platana
Polidhroson
Polovitsa
Polydendron
Potamia
Riviotissa
Riza
Sanatorion
Sellasia
Servaiika
Sikarakion
Skoura
Sokha
Sotira
Soustianoi
Spartia
Stavros
Taiyeti
Toriza
Trapezondi
Tripi
Tseramion
Tsipouraiika
Vafion
Vamvakou
Varika
Varvitsa
Vasaras
Vasiliki
Vergadhaiika
Veria
Vlakhokhorion
Vordhonia
Voutianoi
Vresthena
Xirokambion
Yeoryitsion
Zaganon"	
3312	OT-PROP-B-4141041	Avaton Luxury Resort Access the Enigma	Thessaloniki	"Achinos
Agia Paraskevi
Agios Dimitrios
Aidonochori
Akti Neon Kerdylion
Amfipoli
Ampeloi
Angista
Ano Stavros
Ano Symvoli
Anoixia
Anthi
Apollonia
Arethousa
Asprovalta
Chalkidiki
Choumniko
Dafni
Dimitritsi
Domiros
Drymia
Efkarpia
Evangelismos
Filadelfi
Flampouro
Iliokomi
Ivira
Kastanochori
Kokkalou
Kormista
Krinida
Lagkadi
Lefkotopos
Lefkouda
Limani
Limni
Logkari
Loutra Volvis
Lygaria
Mavrothalassa
Mavrouda
Megali Volvi
Melissourgos
Mesada
Mesolakkia
Mesopotamo
Mikri Volvi
Mikro Souli
Mikrokomi
Modi
Nea Amfipoli
Nea Apollonia
Nea Bafra
Nea Fyli
Nea Kerdylia
Nea Madytos
Nea Mesolakkia
Nea Vrasna
Nigrita
Nikokleia
Nikomidino
Nymfopetra
Olympiada
Oreskeia
Palaiokomi
Patriki
Peristerona
Plateia
Profitis
Proti
Rentina
Rodolivos
Scholarion
Sisamia
Sitochori
Skepasto
Stefanina
Stivos
Sykia
Symvoli
Terpni
Therma
Tragilos
Triantafyllia
Vaiokhorion
Vamvakia
Vergi
Vrasna
Xiropotamos
Xirorrevma
Zervochori"	
2309	OT-PROP-A-490517	Myrtoo	Laconia	"Achaia - Patra - Rio - Kalavryta
Adhiakopos
Agia Kyriaki
Agios Ioannis
Agkelona
Akhladhokambos
Ano Kastanea
Archangelos
Ariana
Asopos
Ayia Paraskevi
Ayioi Apostoloi
Ayioi Theodhoroi
Ayios Dhimitrios Monemvasias
Ayios Elissaios
Ayios Fokas
Ayios Ioannis
Ayios Ioannis
Ayios Mamas
Ayios Miron
Ayios Nikolaos
Ayios Nikolaos Monemvasias
Ayios Sarandos
Ayios Stefanos
Ayios Yeoryios
Ayios Yeoryios
Belesaiika
Dhaimonia
Dhermatianika
Elaia
Elika
Ellinikon
Faraklon
Favaiika
Floka
Foinikion
Foutia
Gefyra
Gerakas
Kaloyerina
Kalyves
Kapsala
Karavostasion
Kastella
Katavothra
Kato Kastanea
Katounia
Kharax
Khorioudhakia
Klironomaiika
Kondaiika
Kondrafourianika
Koulouraiika
Koundiourianika
Koupia
Kremasti
Kremmydi
Kriovrisi
Ksifias
Kyparissi
Lakhion
Lakonia - Monemvasia -Mani
Lambokambos
Latomion
Limeni Geraka
Lira
Longarion
Lotza
Manolarianika
Markianika
Megali Epilia
Mendianika
Mesokhorion
Metamorfosis
Mitropolis
Molaoi
Monemvasia
Neapolis
Nomia
Oikonomianika
Pakia
Palaia Monemvasia
Panayia
Panayitsa
Pandanassa
Pappadhianika
Paradhision
Paralia
Paraskaiika
Pasakion
Peloponnese
Pistamata
Platori
Plitra
Pori
Reichea
Sgardhelianika
Sklavouna
Spithaiika
Sykea
Talanta
Taxiarkhai
Teria
Trochalia
Tsengianika
Velanidhia
Veliai
Vinglafia"	
