index	id hotel	hotel	city	locatii	locatia aleasa
257	OT-PROP-A-1220	Enagron Cretan Ecotourism Village	AXOS	"Agia
Agios Ioannis
Agios Mamas
Agridhia
Aidonochori
Aimonas
Aliakes
Aloides
Anogia
Apladhiana
Argoulion
Astiraki
Astrino
Avdanites
Avdhellas
Axos
Chani Aloidon
Crete Island
Dafnedes
Damasta
Damavolos
Dhoxaron
Drosia
Episkopi
Faratsi
Garazon
Goniai
Kalivos
Kamara
Kamarakion
Kamariotis
Kampos Apladianon
Kampos Doxarou
Kastri
Kateriana
Kefali
Keramota
Kheliana
Khonos
Kostefanos
Krana
Krasounas
Kria Nera
Livadha
Livadhia
Makrigianni
Mariniana
Metochi
Metokhion Ayias
Mourtzana
Omala
Rethimno Region - Crete
Sisai
Sisarcha
Theodora
Tsachiana
Venion
Zoniana"	
274	OT-PROP-A-1241041	Costa Vasia Seaside Suites And Apartments	Vrahati, Corinthia	"Ancient Corinth
Archaio Limani
Assos
Ayia Marina
Bekianika
Bolati
Corinthia - Loutraki
Corinthia Region
Dhourvationa
Ellinokhorion
Evangelistria
Kalentzi
Kato Assos
Khalkeio
Kiato
Kokkonion
Krines
Lekhaio
Limni Vouliagmenis
Moulki
Neapolis
Nerantza
Peloponnese
Periyiali
Poullitsa
Sataiika
Sikyon
Soulinari
Stimanga
Tarsina
Tragana
Veliniatika
Velo
Vokhaiko
Vrakhati
Zevgolateio"	
282	OT-PROP-A-1243	Asterias Village Resort	Koutouloufari	"Agia Pelagia
Agios Ioannis Theologos
Agkisaras
Agno
Agriana
Aitania
Analipsi
Anissaras
Ano Karouzana
Anopolis
Aposelemis
Avdhou
Chatzana
Chersonissos - Crete
Crete Island
Drapanos
Elia
Episkopi
Galifa
Galipe
Goniai
Gournes
Gouves
Haraso
Heraklion Region - Crete
Kainouryion Khorion
Kalivomouris
Kalochori
Karteros
Kato Gouves
Kato Karouzana
Kato Vathia
Kera
Khokhlakiai
Kokkini Hani
Koxari
Krasi
Kutulufari
Lagos
Malia
Mokhos
Pano Vathia
Pelekita
Pigi
Piskopiano
Potamiai
Sfendili
Sgourokefali
Skopela
Skoteinon
Smari
Stalida
Stamni
Stavromenos
Vathianos Kambos
Voros
Vrachokipos"	
301	OT-PROP-A-1255	Tropical Hotel	Χαλκιδική / Halkidiki	"Afitos
Aghios Nikolaos Paliouriou
Agia Paraskevi
Boulamatsia
Chalkidiki
Elani
Evdos
Fourka
Fourka
Frama
Fylakes Karakallou
Fylakes Kassandras
Fylakes Ksenofontos
Hanioti
Kalandra
Kalithea
Kallithea
Kaloutsikos
Kassandra
Kassandra
Kassandra Palace
Kassandria
Kassandrino
Khaniotis
Kriopigi
Lefkes
Lefki Peristera
Loutra
Moles Kalyves
Nea Fokia
Nea Potidea
Nea Potidhaia
Nea Skioni
Paliouri
Panorama
Pefkohori
Pirgos Sani
Polichrono
Possidi
Sani
Siviri
Solina
Xina"	
1935	OT-PROP-A-3575	Anassa Mare Villas & Residences	Paxi	"Anemogianatika
Antipaxos Island
Apergatika
Argyratika
Aronatika
Arvanitakeika
Bogdanatika
Boikatika
Chourdatika
Dalietatika
Dendiatika
Fanariotatika
Fountana
Georgoutsatika
Geos
Geromonachos
Gramatikeika
Ionian Islands
Kagatika
Kalodhikatika
Katsimatika
Kefalatika
Klonatika
Kontogianatika
Kourteika
Koutsi
Lakka
Loggos
Longos
Magazia
Makratika
Manesatika
Mastoratika
Moungelatika
Ozias
Paxos Island
Petratika
Rantatika
Romanatika
Tranakatika
Vasilatika
Veliantatika
Vlachopoulatika
Zenempisatika"	
329	OT-PROP-A-1280	Esperides Hotel	Limenas Thassou	"Alyki
Astris
Chrysi Ammoudia
Glyfada
Kallirachi
Kastro
Koinyra
Lefki
Limenaria
Livadi
Makryammos
Maries
Megalos Prinos
Mikros Prinos
Moni Archangelou
Nisteri
North Aegean Islands
Ormos Prinou
Panayia
Paradeisos
Paralia Astridos
Potamia
Potos
Prinos
Psili Ammos
Rachoni
Rosogkremos
Skala Kallirachis
Skala Marion
Skala Rachoniou
Skala Sotiros
Skidia
Sotiras
Thasos Island
Theologos
Thymonia"	
3825	OT-PROP-B-7380310	Portes Theros	Kassandra, Halkidiki	"Agios Mamas
Agios Panteleimonas
Agios Pavlos
Chalkidiki
Dikorfo
Dionisiou
Dionisiou Beach
Eleochoria
Krini
Lakoma
Metochi
Mikri Vavdos
Mouries
Nea Flogita
Nea Gonia
Nea Iraklia
Nea Kallikratia
Nea Kerasia
Nea Moudania
Nea Plagia
Nea Potidea
Nea Potidhaia
Nea Rodia
Nea Silata
Nea Tenedos
Nea Triglia
Nea Triglia Beach
Neochoraki
Neromylos
Olynthos
Papa Aloni
Paradise
Petralona
Portaria
Portaria Beach
Portes
Rodokipos
Simantra
Sozopoli
Zografou"	
3871	OT-PROP-B-95680	The Elegant Apartments	Thassos, Northern Aegean Islands	"Alyki
Astris
Chrysi Ammoudia
Glyfada
Kallirachi
Kastro
Koinyra
Lefki
Limenaria
Livadi
Makryammos
Maries
Megalos Prinos
Mikros Prinos
Moni Archangelou
Nisteri
North Aegean Islands
Ormos Prinou
Panayia
Paradeisos
Paralia Astridos
Potamia
Potos
Prinos
Psili Ammos
Rachoni
Rosogkremos
Skala Kallirachis
Skala Marion
Skala Rachoniou
Skala Sotiros
Skidia
Sotiras
Thasos Island
Theologos
Thymonia"	
3816	OT-PROP-B-7370854	Akrotiri Olympos Luxury Suites	Olympus Riviera, Pieria	"Agios Spyridon
Anatolikos Olympos
Ano Skotina
Dion
Kalyvia Varikou
Karitsa
Kontariotissa
Leptokaria (Pieria)
Leptokarya
Lithochoro (Pieria)
Litochoro
Nea Efesos
Nea Mesagkala
Neoi Poroi
Olympic Riviera - Pieria
Palaia Leptokarya
Palaios Panteleimonas
Papapouli
Pieria - Olympos
Platamonas
Platanakia
Poroi
Skala Litochorou
Skala Skotinas
Skala Stolou
Skotina
Synoikismos Panteleimonos
Vrontou"	
3573	OT-PROP-B-5422	Cavo Diakofti Sea Houses Kythera	Kythera	"Agia Anastasia
Agia Moni
Agia Pelagia
Agios Ilias
Alexandrades
Aloizianika
Ano Livadi
Arei
Aroniadika
Avlemonas
Charchaliana
Cythera Island
Diakofti
Dokana
Drimonari
Drimonas
Fatsadika
Fratsia
Frilingianika
Galaniana
Gerakari
Goudianika
Ionian Islands
Kalamos
Kalisperianika
Kalokerines
Kambos
Kampos Paleopoleos
Kapsali
Karavas
Karvounades
Kastrisianika
Kato Chora
Katsouni
Keramoto
Kithira
Kithira Airport
Kondolianika
Kousounari
Kryoneri Kythiron
Lianianika
Livadi
Logothetianika
Lourandianika
Manitochori
Milopotamos
Mitata
Moni Myrtidion
Paleopoli
Perlengianika
Petrouni
Piso Pigadi
Pitsinades
Pitsinianika
Platia Ammos
Potamos
Potamos Antikithiron
Pourko
Prongion
Stathianika
Strapodi
Travasarianika
Trifillianika
Tsiklaria
Viaradika
Vouno"	
