"hotel id",hotel,oras,"oras ales",mappedLocations,"potrivire perfecta","protrivire partiala","potrivire primul cuvant",mapare,potrivire
OT-PROP-A-1000,"Ostraco Hotel & Suites",Mykonos,"Mykonos Island","Aggelika; Agios Ioannis Diakoftis; Agios Lazaros; Agios Sostis; Agios Stefanos; Agrari; Alefkandra; Aleomantra; Amygdalidi; Ano Mera; Ano Myloi; Argyraina; Baos; Choulakia; Costa Ilios; Cyclades; Dilos Island; Drafaki; Drakouri; Elia; Famprika; Faros Armenistis; Fournakia; Glastros; Glyfadi; Kalafati; Kalo Livadi; Kaminakia; Kanalia; Kastro; Kato Myloi; Klouvas; Korfos; Lakka; Limni; Megali Ammos; Mikonos Island, Mikonos Airport; Mikri Venetia; Mykonos Chora; Mykonos Island; Ornos; Panormos; Peteinaros; Platys Gialos; Plintri; Psarou; Scholi Kalon Technon; Skalado; Tagkou; Tourlos; Vothonas; Vrysi",,"Mykonos IslandMykonos Chora",,,partiala
OT-PROP-A-1001143,"Brown Beach Eretria","Evia Island, Central Greece",Evia,"Afidnes; Afidnes Station; Afrati; Agia Aikaterini; Agia Sofia; Agia Triada; Agii Apostoli; Agioi Anargyroi Kapandritiou; Agios Athanasios; Agios Athanasios Oropou; Agios Georgios Polydendriou; Agios Konstantinos Oropou; Agios Nikolaos; Agriosikea; Akres; Amarynthos; Amfithea; Ano Mistros; Ano Vathia; Anthidona; Asprochori; Attali; Avlida Beach; Avlonas; Bafi; Burji; Chalkida; Chalkoutsi; Dhokos; Drosia; Drosopigi; Dyo Dendra; Eretria; Evia; Evia - Aidipsos - Eretria; Faros; Filla; Galazia Nera; Gerontas; Gimnon; Glyfada; Gyrismata; Hiliadou Beach; Iraklidis; Kalamos; Kallithea; Kalochori - Panteichi; Kamari; Kamari; Kamarion; Kamaritsa; Kambia; Kampos Oropou; Kanithos; Kapandriti; Karnes; Kastella; Katheni; Katifori; Kato Kambia; Kato Seta; Kato Steni; Kiparissi; Kokinovrachos; Kondodespoti; Kosmothea; Kotroni; Kotsikia; Koukaki; Kronia; Ksirovrisi; Ktyponisi; Lamari; Lechries; Levkandion; Limni Marathonos; Limnionas; Loukissia; Loutsa; Magoula; Makrikapa; Makrimali; Malakasa; Malakonta; Manika; Markates; Markopoulo Oropou; Mavropoulo; Mavrosouvala; Megala Khalia; Metamorfosi; Mikra Khalia; Mikrochori; Mikron Vathi; Milesion; Mili; Mistros; Mitikas; Moni Agiou Georgiou Arma; Moni Agiou Nikolaou; Nea Artaki; Nea Lampsakos; Nea Palatia; Nea Politia; Neo Sykamino; Neon Livission; Nerotrivia; Niki; Oropos; Pagontas; Paliouras; Panorama; Panteichion; Paralia Vatheos; Paratheristikos Oikodomikos Synetairismos Olympiakis Aeroporias; Pefkias; Pevkofiton; Pigadia; Pissonas; Plaka Dilesi; Platania; Platania Oropou; Politika; Politika Beach; Polydendri; Pontii; Pournos; Psachna; Ritsona; Seta; Sfendali; Skala Oropou; Skounderi; Skroponeria; Steni Dirfyos; Sterea Ellada - Evia; Stropones; Sykamino; Taksiarches; Theologos; Triada; Vasilikon; Vathi; Vatontas; Vouni; Yliki",,Evia,,,partiala
OT-PROP-A-100199,"Loggas Hotel",Kastoria,Kastoria,"Agia Kyriaki; Agia Paraskevi; Agios Antonios; Agios Nikolaos Korisou; Akontio; Ano Kranionas; Ano Melas; Aposkepos; Apozari; Avgi; Chalara; Chiliodendro; Chloi; Dendrochori; Dispilio; Foteini; Fourka; Gavros; Ieropigi; Kallithea; Kalochori; Kastoria; Kastoria Region; Kato Pteria; Kefalari; Kleisoura; Kolokynthou; Korisos; Koromilia; Kranionas; Krepeni; Lefki; Lithia; Macedonia; Makrochori; Maniakoi; Mavrochori; Mavrokampos; Melas; Melissotopos; Mesopotamia; Metamorfosi; Moni Agion Anargyron; Moni Panagias; Nea Lefki; Neos Oikismos; Ntoltso; Oinoi; Omorfokklisia; Oxya; Palaio Tsifliki; Pallinostountes; Pentavryso; Polykarpi; Polykeraso; Poreia; Pteria; Sidirochori; Stavropotamos; Toichio; Tsakoni; Vasileiada; Verga; Vyssinia; Ypsilo",Kastoria,,,,perfecta
OT-PROP-A-1003,"COOEE Akti Ouranoupolis","Athos, Halkidiki",Athos,"Agii Theodori; Agios Ioannis Prodromos; Ammouliani; Arnea; Assa; Athos; Chalkidiki; Chysi Akti; Develiki; Gavradia; Gomati; Ierissos; Kalivia Varvaras; Koumitsa; Krioneri; Limani Ierissou; Megali Panagia; Metochi Agiou Pavlou; Nea Roda; Neochori; Nireas; Ouranopoli; Ouranoupolis; Paleochori; Pirgadikia; Pyrgos Chiliadous; Sithonia; Skala; Stagira; Stanos; Stratoni; Stratoniki; Tripiti; Varvara; Xiropotamo",,Athos,,,partiala
OT-PROP-A-100470,"Camara Hotel Naxos",Naxos,"Naxos Island","Agia; Agia Anna; Agiassos; Agidia; Agii Pantes; Agios Arsenios; Agios Georgios; Agios Prokopios; Agios Thaleleos; Akadhimoi; Akrotiri; Aliko; Ano Potamia; Ano Sagri; Aperatos; Apollon; Argokiliotisa; Aspra Spitia; Atsipapi; Azalas; Chalkio; Cheimarros; Chilia Vrisi; Chrysostomou Monastery; Damalas; Damarionas; Danakos; Eggares; Elli; Faraklo; Filoti; Galanado; Galini; Glinado; Grotta; Kalantos; Kaloxylos; Kampos; Kanakari; Kanaki; Kastraki; Kato Potamia; Kato Sagri; Kerami; Keramoti; Kinidaros; Kleido; Koronis; Koronos; Kourounochori; Lionas; Lygaridia; Maragas; Mastorakis; Melanes; Mesi; Mesi Potamia; Mikri Vigla; Moni; Moutsouna; Myli; Myrisis; Naxos Airport; Naxos Island; Naxos Town; Orkos; Panermos; Pirgaki; Plaka; Rachi; Sifones; Skado; St . George; Stelida; Taksiarchis; Tsikkalarion; Vivlos; Vourvouria; Zoodochos Pigi",,"Naxos IslandNaxos TownNaxos Airport",,,partiala
OT-PROP-A-100473,"Apanemo Hotel And Suites",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-1005,"Porto Platanias Beach Resort & Spa","Chania - Crete","Chania Region - Crete","Afrata; Agia; Agia Marina; Agios Antonios; Agios Ioannis; Alikianos; Ano Kefala; Ano Tzineriana; Ano Voukolies; Ano Vouves; Anoskeli; Apothikes; Askordalos; Aspra Nera; Astratigos; Astrikas; Axemiana; Bapiolos; Boriana; Bougioukliana; Chamalevri; Chania Region - Crete; Chliaro; Chosti; Chrisavgi; Crete Island; Daratsos; Darmarochori; Daskaliana; Deliana; Delimanoliana; Dempla; Deres; Drakona; Dromonero; Elliniko; Episkopi; Episkopi; Fotakado; Foundouliana; Fouriana; Fournes; Galatas; Ganiana; Gavalomouri; Gavranou; Gerakiana; Gerani Chania; Giannikiana; Glossa; Gra-Kera; Grimpiliana; Kafouros; Kakopetros; Kalami; Kalidonia; Kamara; Kamisiana; Kamisiana; Karanos; Kardiamiana; Kares Karanou; Kares Kissamou; Karthiana; Kato Daratso; Kato Kares; Kato Kefala; Kato Veni; Katziana; Kechres; Kefala; Khainderiana; Kharvata; Khatzimemethiana; Khristiana; Kladouriana; Kokkinos Pyrgos; Kolympari; Kondoyioryiana; Kontomari; Kontoudiana; Kotsyfiana; Koufos; Koukouriana; Koulkouthiana; Koumares; Koumouli; Kria Vrisi; Kyparissos; Kyrtomados; Lakkoi; Lassithi Region - Crete; Lidiana; Limni; Loufardiana; Loukiana; Loukomicheliana; Lourdhiana; Loutraki; Lygides; Maleme; Manoliopoulo; Marathokefala; Mariana; Marmaras; Melissourgio; Melissourgio; Mesa Voukolies; Mesavlia; Meskla; Mesonisi; Methala; Metochi; Metochi; Metochi; Metochi; Metokhi; Metokhio Siriliou; Michaliana; Minothiana; Modi; Mothiana; Moulameriana; Moulete; Mouri; Mouriziana; Mournies; Myloniana; Nea Roumata; Nembros; Neo Chorio; Neratzia; Neriana; Nochia; Oasi; Omaliana; Omalos; Orthouni; Palia Roumata; Pananiana; Panethimos; Pano Veni; Pappadiana; Patellari; Pathiakiana; Pentariana; Perdikiana; Perivolia; Petaliana; Plakalona; Platanes; Platanias; Polemarchi; Pontikiana; Potistiria; Prases; Psathogiannos; Ptinotrofion; Pyrgos; Pyrgos Psilonerou; Rapaniana; Ravdoucha; Rodopos; Salivariana; Samaria; Selli; Sembrono; Sempronas; Sfendhiliana; Sikidhia; Sinoikismos Garoufaliana; Sinoikismos Katsouliana; Sinoikismos Metokhi; Sinoikismos Monodhendri; Sinoikismos Permakiana; Sinoikismos Vounianoi; Sirili; Skafidakia; Skafiotes; Skines; Skonizo; Skoutelonas; Spilia; Stalos; Tavronitis; Tsouchliana; Tzineriana; Vamvakopoulo; Varypetro; Vasiliana; Vasilopoulo; Vatolakkos; Vavouledo; Veni; Vlacheronitissa; Voukolies; Vouves; Vrisai; Xamoudochori; Xeroyianiana; Xirokampi; Zounaki; Zouridhiana; Zourva; Zympragos",,,"Gerani ChaniaChania Region - Crete",,"primul cuvant"
OT-PROP-A-1005053,"Cyrenia Guesthouse",Monemvasia,Monemvasia,"Achaia - Patra - Rio - Kalavryta; Adhiakopos; Agia Kyriaki; Agios Ioannis; Agkelona; Akhladhokambos; Ano Kastanea; Archangelos; Ariana; Asopos; Ayia Paraskevi; Ayioi Apostoloi; Ayioi Theodhoroi; Ayios Dhimitrios Monemvasias; Ayios Elissaios; Ayios Fokas; Ayios Ioannis; Ayios Ioannis; Ayios Mamas; Ayios Miron; Ayios Nikolaos; Ayios Nikolaos Monemvasias; Ayios Sarandos; Ayios Stefanos; Ayios Yeoryios; Ayios Yeoryios; Belesaiika; Dhaimonia; Dhermatianika; Elaia; Elika; Ellinikon; Faraklon; Favaiika; Floka; Foinikion; Foutia; Gefyra; Gerakas; Kaloyerina; Kalyves; Kapsala; Karavostasion; Kastella; Katavothra; Kato Kastanea; Katounia; Kharax; Khorioudhakia; Klironomaiika; Kondaiika; Kondrafourianika; Koulouraiika; Koundiourianika; Koupia; Kremmydi; Kriovrisi; Ksifias; Kyparissi; Lakhion; Lakonia - Monemvasia -Mani; Lambokambos; Latomion; Limeni Geraka; Lira; Longarion; Lotza; Manolarianika; Markianika; Megali Epilia; Mendianika; Mesokhorion; Metamorfosis; Mitropolis; Molaoi; Monemvasia; Neapolis; Nomia; Oikonomianika; Pakia; Palaia Monemvasia; Panayia; Panayitsa; Pandanassa; Pappadhianika; Paradhision; Paralia; Paraskaiika; Pasakion; Peloponnese; Pistamata; Platori; Plitra; Pori; Reichea; Sgardhelianika; Sklavouna; Spithaiika; Sykea; Talanta; Taxiarkhai; Teria; Trochalia; Tsengianika; Velanidhia; Veliai; Vinglafia",Monemvasia,,,,perfecta
OT-PROP-A-1007,"Palazzo Vecchio Exclusive Residence","Rethymno, Crete","Palia Poli Rethymnou","Adele; Adelianos Kampos; Agia Irini; Agia Paraskevi Rethymnis; Agia Triada; Agios Andreas; Agios Dimitrios; Agios Georgios Agiou Konstantinou; Agios Georgios Armenon; Agios Konstantinos; Agios Markos; Agios Nikolaos; Agna; Alones; Amnatos; Ampelaki; Ano Malaki; Ano Valsamonero; Ano Viranepiskopi; Anogia; Archaia Eleftherna; Archontiki; Argyroupoli; Arkadi Monastery; Armeni; Arolithi; Asterion; Atsipopoulo; Bezeriana Metochia; Chamalevri; Charkia; Chromonastiri; Crete Island; Eleftherna; Episkopi; Erfoi; Foteinos; Fradzeskiana Metohia; Gallos; Geni; Gerani; Giannoudi; Gonia; Goulediana; Irfani; Kallithea; Kalonyktis; Kapediana; Kapsaliana; Kare; Karoti; Kastellakia; Kastellos; Kato Malaki; Kato Poros; Kato Valsamonero; Kavousi; Koufi; Koumi; Koumpes; Kyrianna; Loutra; Magnisia; Maroulas; Maroulou; Mastampas; Megalo Metochi; Mesi; Mikro Metochi; Mili; Misiria; Monopari; Mountros; Myriokefala; Myrthios Selliou; Oros; Pagalochori; Palailimnos; Palia Poli Rethymnou; Pano Armenoi; Panorama; Perivolia; Petres; Pigi; Pigianos Kampos; Pikris; Platanes; Prasies; Prinedes; Prines; Prinos; Rethimno Region - Crete; Rethimnon City - Crete; Roumpado; Roupes; Roussospiti; Roustika; Saitoures; Sellion; Sfakaki; Skaleta; Skouloufia; Sochora; Somatas; Stavromenos Rethymnis; Tria Monastiria; Tsesmes; Vederi; Velonado; Vilandredo; Violi Charaki; Viranepiskopi; Xiro Chorio; Zouridi",,,"Palia Poli Rethymnou",,"primul cuvant"
OT-PROP-A-1008,"Hotel Palladion","Rethymno, Crete Island","Crete Island","Adele; Adelianos Kampos; Agia Irini; Agia Paraskevi Rethymnis; Agia Triada; Agios Andreas; Agios Dimitrios; Agios Georgios Agiou Konstantinou; Agios Georgios Armenon; Agios Konstantinos; Agios Markos; Agios Nikolaos; Agna; Alones; Amnatos; Ampelaki; Ano Malaki; Ano Valsamonero; Ano Viranepiskopi; Anogia; Archaia Eleftherna; Archontiki; Argyroupoli; Arkadi Monastery; Armeni; Arolithi; Asterion; Atsipopoulo; Bezeriana Metochia; Chamalevri; Charkia; Chromonastiri; Crete Island; Eleftherna; Episkopi; Erfoi; Foteinos; Fradzeskiana Metohia; Gallos; Geni; Gerani; Giannoudi; Gonia; Goulediana; Irfani; Kallithea; Kalonyktis; Kapediana; Kapsaliana; Kare; Karoti; Kastellakia; Kastellos; Kato Malaki; Kato Poros; Kato Valsamonero; Kavousi; Koufi; Koumi; Koumpes; Kyrianna; Loutra; Magnisia; Maroulas; Maroulou; Mastampas; Megalo Metochi; Mesi; Mikro Metochi; Mili; Misiria; Monopari; Mountros; Myriokefala; Myrthios Selliou; Oros; Pagalochori; Palailimnos; Palia Poli Rethymnou; Pano Armenoi; Panorama; Perivolia; Petres; Pigi; Pigianos Kampos; Pikris; Platanes; Prasies; Prinedes; Prines; Prinos; Rethimno Region - Crete; Rethimnon City - Crete; Roumpado; Roupes; Roussospiti; Roustika; Saitoures; Sellion; Sfakaki; Skaleta; Skouloufia; Sochora; Somatas; Stavromenos Rethymnis; Tria Monastiria; Tsesmes; Vederi; Velonado; Vilandredo; Violi Charaki; Viranepiskopi; Xiro Chorio; Zouridi",,"Crete Island",,,partiala
